1000,1.68,0.12,2.02
1100,1.69,0.14,2.08
1200,1.75,0.15,2.17
1600,1.8,0.23,2.68
2000,1.64,0.48,3.71
2200,1.58,0.62,4.5
2400,1.41,0.78,5.1
2500,1.37,0.83,5.2
2550,1.38,0.85,5.1
2800,1.48,0.74,4.1
3000,1.6,0.58,3.13
3200,1.68,0.49,2.44
3600,1.7,0.37,1.6
4000,1.76,0.28,1.13
4400,1.77,0.23,0.85
4800,1.75,0.2,0.68
5000,1.77,0.18,0.6
5200,1.8,0.17,0.54
